Recipe_Name,Review_Count,Author,Prepare_Time,Cook_Time,Total_Time,Ingredients,Directions,RecipeID,Recipe_Photo
Williamsburg Orange Cake Recipe ,17,Carol,30 m,1 h,1 h 30 m,"flour,white sugar,baking soda,salt,butter,shortening,buttermilk,egg,raisin,walnut,orange,vanilla,butter","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan, two 9-inch round cake pans, or three 8-inch round cake pans.**In a large bowl, combine cake flour, sugar, baking soda and salt. Mix in butter, shortening, buttermilk, eggs, raisins, nuts, orange zest and vanilla. Beat with an electric mixer for 3 minutes on high speed. Pour batter into prepared pan.**Bake in preheated oven until a toothpick inserted in center of cake comes out clean. Bake 9x13 inch pan 45 to 50 minutes, or layers 30 to 35 minutes. Allow to cool, and frost with Williamsburg Butter Frosting.**",7824,https://images.media-allrecipes.com/userphotos/560x315/1130238.jpg
Raspberry Nut Butter Cake Recipe ,5,Carol,X,X,X,"egg,butter,white sugar,raspberry,vanilla,rum,flour,baking powder,walnut,pecan","Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 9 inch tube pan.**Separate the eggs. In a bowl, beat the egg whites until stiff. Set aside.**In a large bowl, beat the butter with the sugar until thoroughly creamed. Beat in the egg yolks, then the jam, vanilla extract, and dark rum.**In a small bowl, stir together the flour and baking powder.  Beat the flour mixture into the creamed mixture, then stir in the nuts. Stir about 1/3 of the beaten egg whites into the batter to lighten it and then fold in the rest gently but thoroughly.  Pour the batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 65 to 70 minutes or until a toothpick inserted near the center comes out clean. Transfer to a rack to cool. Makes about 12 servings.**",7826,https://images.media-allrecipes.com/userphotos/560x315/832685.jpg
Poke Cake I Recipe ,69,Donna Breault,X,X,X,"cake,vanilla,egg,water,vegetable oil,fruit,water,water,topping thawed","Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 9x13 inch baking pan.**Combine cake mix, pudding mix, eggs, 1 cup water and the vegetable oil and blend well. Beat at the medium speed of an electric mixer for 4 minutes. Pour batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 45 to 50 minutes or until the cake springs back when lightly touched. Let cake cool in pan for 15 minutes.**Meanwhile, dissolve the gelatin in the boiling water, then add the cold water.**Poke holes in the warm cake with a fork at 1/2 inch intervals. Pour gelatin over cake. Chill cake for 3 to 4 hours then frost with whipped topping. Keep cake refrigerated.**",7827,https://images.media-allrecipes.com/userphotos/560x315/398446.jpg
^Diane^^s German Chocolate Cake Recipe ^,97,Diane Pace,15 m,35 m,50 m,"butter,vanilla,cocoa powder,buttermilk,vegetable oil,egg,milk,white sugar,pecan,vanilla,egg,butter,coconut","Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 8 inch round cake pans.**Combine the cake mix, instant vanilla pudding, cocoa, buttermilk, vegetable oil and the 3 whole eggs. Mix until blended and pour the batter into the prepared pans.**Bake at 350 degrees F (175 degrees C) for 20 to 25 minutes or until the cakes test done. Set cakes aside to cool.**In a medium sized sauce pan mix the evaporated milk, white sugar, 3 egg yolks and the butter. Cook over medium heat until the mixture is thick. Remove from heat and beat until partially cooled. Beat in the vanilla. Stir in the flaked coconut and the chopped pecans. Use to fill and frost cake.**",7828,https://images.media-allrecipes.com/userphotos/250x250/25096.jpg
Poke Cake II Recipe ,84,Karin Christian,X,X,X,"bake,fruit,water,topping thawed","Place cake layers, top side up in two clean 8 or 9 inch round cake pans. Prick each cake with a utility fork at 1/2 inch intervals.**Dissolve gelatin in boiling water. Carefully spoon dissolved gelatin over cake layers. Chill cakes for 3 to 4 hours.**Dip one cake pan in warm water for 10 seconds, then unmold onto a serving plate. Top with about 1 cup of the whipped topping. Dip the other cake pan in warm water for 10 seconds and unmold second cake layer, placing carefully on top of the first cake layer. Frost top and sides with the remaining whipped topping. Chill.**",7829,https://images.media-allrecipes.com/userphotos/560x315/4533062.jpg
^Gramma^^s Party Cake Recipe ^,15,Vicki,X,X,X,"cake,lime,water,water,whipped topping mix,lemon,milk","Dissolve the gelatin in the boiling water. Mix in the cold water and set aside.**Mix and bake cake as directed for one 9x13 inch pan. Let cake cool for 20 to 25 minutes.**Poke holes in cake about 1 inch apart. Pour gelatin into holes and over the top of the cake. Refrigerate cake while making the topping.**Mix instant pudding, whipped topping mix and milk until stiff. Frost cake and store in refrigerator.**",7830,https://images.media-allrecipes.com/userphotos/560x315/1015456.jpg
Creamy Cheesecake Recipe ,221,Karin Christian,X,X,X,"ham,cream cheese,egg,white sugar,vanilla,lemon","Preheat oven to 350 degrees F (175 degrees C).**Beat softened cream cheese slightly. Add eggs, sugar, vanilla, and lemon zest. Beat until light and fluffy. Pour mixture into crust.**Bake at 350 degrees F (175 degrees C) until firm, about 25 minutes. Let cheesecake cool then top with cherry or blueberry pie filling, if desired. Refrigerate for at least 8 hours before serving.**",7832,https://images.media-allrecipes.com/userphotos/250x250/631723.jpg
Pumpkin Cheesecake I Recipe ,204,J M Thomas,20 m,50 m,1 h 10 m,"cream cheese,white sugar,pumpkin,cinnamon,ginger,nutmeg,egg,salt,pastry","Preheat oven to 350 degrees F (175 degrees C).**Beat together the cream cheese and the sugar, add the pumpkin and the spices. Beat in eggs one at a time. Add salt. Beat until creamy. Pour the batter evenly into the two pastry shells.**Bake at 350 degrees F (175 degrees C) for 50 minutes or until the knife inserted in the center comes out clean. Let cool then top with whipped topping, if desired.**",7835,https://images.media-allrecipes.com/userphotos/560x315/53506.jpg
Ice Box Cake II Recipe ,5,Lenna,15 m,10 m,6 h 25 m,"marshmallow,pineapple,banana,walnut,whipping cream,ham","Line one 9x13 inch baking pan with the graham cracker or vanilla wafer crumbs. Reserve a few crumbs as a garnish for the top.**Drain the pineapple, saving the juice. Melt the marshmallows in the pineapple juice over low heat. Once melted set aside to cool.**Cut up the bananas into chunks. Mix the bananas, chopped nuts, and crushed pineapple into the cooled marshmallow mixture.**Fold the fruit mixture into the whipped cream. Spoon batter into the graham cracker or vanilla wafer lined pan. Sprinkle the reserved crumbs on top. Chill well before serving. Makes about 12 to 18 servings.**",7838,https://images.media-allrecipes.com/userphotos/560x315/3501212.jpg
Baby Food Cake I Recipe ,10,Lori,X,X,X,"cake,white sugar,vegetable oil,egg,apricot,plum,walnut","^Preheat oven to 375 degrees F (175 degrees C). Grease and flour one 9 or 10 inch Bundt pan.**Combine the cake mix, sugar, vegetable oil, eggs, apricot baby food and plum baby food. Mix for 2 minutes. Stir in walnuts and pour batter into the prepared pan.**Bake at 375 degrees F (190 degrees C) for 1 hour. Wonderful with a light dusting of confectioner^^s sugar or with an almond frosting.**^",7839,https://images.media-allrecipes.com/userphotos/250x250/141300.jpg
Apricot Nectar Cake II Recipe ,17,Glenda,X,X,X,"cake,egg,vegetable oil,apricot,water,sugar,lemon juice,lemon","^Preheat oven to 350 degrees F (175 degrees C). Grease one 10 inch tube or Bundt pan.**Mix the cake mix, eggs, vegetable oil, and apricot nectar together.**Dissolve the gelatin in the hot water and add to cake batter. Mix well and pour the batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 45 to 60 minutes. Invert cake onto a plate and cool for several minutes. Pour glaze over cake while it is still warm.**To Make Glaze: Combine the confectioner^^s sugar and the lemon juice. Use immediately to pour over still warm cake.**^",7840,https://images.media-allrecipes.com/userphotos/560x315/3111418.jpg
Lemon Apricot Cake Recipe ,18,Glenda,X,X,X,"lemon,white sugar,vegetable oil,apricot,egg,sugar,lemon juice,vegetable oil","^Preheat oven to 325 degrees F (165 degrees C). Grease one 10 inch tube or bundt pan.**Combine the cake mix, white sugar, 3/4 cup vegetable oil, and apricot nectar together. Beat in the eggs one at a time, mixing well after each addition. Pour the batter into the prepared pan.**Bake at 325 degrees F (165 degrees C) for 1 hour.  Let cake cool in pan for 10 minute then invert onto a serving dish and pour glaze over cake while it is still warm.**To Make Glaze: Combine the confectioners^^ sugar, lemon juice and the 3 drops of oil, mixing until smooth. Use immediately to pour over still warm cake.**^",7842,https://images.media-allrecipes.com/userphotos/250x250/760069.jpg
Pink Princess Cake Recipe ,37,MB,X,X,X,"cake,strawberry,flour,strawberry,vegetable oil,egg","Preheat the oven to 350 degrees F (175 degrees C). Grease one 9 or 10 inch bundt or tube pan.**Combine the cake mix, gelatin, flour, eggs and thawed strawberries. Beat at medium speed of an electric mixer for 3 minutes. Add the oil and beat for one more minute. Pour batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 35 to 40 minutes. Let cake cool before frosting or serving.**",7843,https://images.media-allrecipes.com/userphotos/250x250/108320.jpg
Lemon Coconut Apricot Cake Recipe ,6,Nanci,X,X,X,"lemon,egg,brown sugar,coconut,vegetable oil,apricot,lemon,sugar,apricot,vegetable oil","^Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 9 or 10 inch tube or bundt pan.**Combine the lemon cake mix, eggs, brown sugar, flaked coconut, 3/4 vegetable oil, 3/4 cup apricot nectar and the lemon extract. Beat with electric beaters for 4 minutes at medium speed. Pour batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 30 to 40 minutes. Let cake cool in pan for 10 minutes then turn cake out on to a serving dish and immediately pour glaze over still warm cake.**To Make Glaze: Combine the confectioners^^ sugar, 2 tablespoons apricot nectar, 1 tablespoon vegetable oil and enough lemon juice to give the glaze a liquid consistency. Mix until smooth and use immediately to pour over still warm cake.**^",7844,https://images.media-allrecipes.com/userphotos/250x250/402771.jpg
Raspberry Icebox Cake Recipe ,35,Carol,X,X,X,"ham,butter,brown sugar,raspberry,water,raspberry,marshmallow,milk,whipping cream","Preheat oven to 350 degrees F (175 degrees C).**Mix graham cracker wafer crumbs, butter and brown sugar until well combined. Set aside 1/4 cup of this mixture for a topping and press the remainder into one 9x13 inch pan.**Bake at 350 degrees F (175 degrees C) for 10 minutes. Set aside to cool.**Dissolve raspberry gelatin in the boiling water and add the frozen raspberries, stirring until melted.  Chill until partially set and spread on wafer base.**Melt marshmallows with the milk.  When cool, fold in whipped cream and spread on top of raspberry mixture.  Sprinkle with remaining crumbs.  Chill for 3-4 hours before serving.**",7845,https://images.media-allrecipes.com/userphotos/560x315/429165.jpg
Cake and Ice Cream Cake Recipe ,27,Susan,30 m,X,3 h 30 m,"cake,strawberry","Take ice cream out of freezer to soften. It should be easy to spread and not melted.**Rip the angel food cake into chunks (about 2 inches). Place a layer of cake on the bottom of one 9 or 10 inch tube pan. Spread a layer of the softened ice cream on top. Repeat layers until cake and ice cream are gone.**Put cake in freezer for at least 2 to 3 hours. When ready to serve remove cake from freezer and place cake onto a serving dish, removing pan.**",7846,https://images.media-allrecipes.com/userphotos/250x250/112018.jpg
Lemonade Cake II Recipe ,55,Patty Silva,X,X,X,"lemon,water,lemon,vegetable oil,egg,lemon,white sugar","Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 10 inch tube pan.**Dissolve lemon gelatin the boiling water. Set aside.**Combine cake mix, vegetable oil, and eggs. Mix well and add gelatin mixture then beat for 5 minutes. Pour batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 1 hour. While cake is still warm and in the pan, puncture cake with the tines of a fork. Then pour lemonade glaze over cake. Let cake cool completely before removing from pan.**To Make Lemonade Glaze: Combine the thawed frozen lemonade with the white sugar and mix thoroughly.**",7847,https://images.media-allrecipes.com/userphotos/560x315/5967743.jpg
Double Chocolate Marble Cake Recipe ,10,Carol,X,X,X,"egg,butter,white sugar,brown sugar,vanilla,sour cream,flour,cocoa powder,salt,baking soda,cocoa powder,white sugar","Preheat oven to 325 degrees F (165 degrees C). Grease an flour one 10 inch tube pan.**To make marbling mixture: Combine 1/3 cup of the coca and 1/2 cup of the white sugar and mix well.**In a large bowl, beat the egg whites until stiff, and set aside.**In another bowl, cream the butter with 1 cup of the sugar and the brown sugar. Beat in the egg yolks, then the vanilla and sour cream.**In another bowl, stir together the flour, cocoa, salt, and baking soda.  Beat into the creamed mixture.  Stir about 1/3 of the egg whites into the batter to lighten it and then fold in the rest gently but thoroughly.  Spread about 1/4 of the batter into a greased and floured tube pan and sprinkle with about 1/3 of the cocoa-sugar mixture.  Continue repeating layers, ending with the batter.  With a knife, lightly swirl the batter and cocoa mixture together**Bake at 325 degrees F (175 degrees C) for 1 3/4 hours, or until it tests done with a toothpick.  Let cool on a rack.  Makes 16 to 20 servings.**",7848,https://images.media-allrecipes.com/images/79591.png
Chocolate Banana Cake Recipe ,124,Robin,15 m,35 m,50 m,"cake,banana,vegetable oil,egg","Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 13x9 inch pan.**Beat cake mix, mashed bananas, oil and eggs with an electric mixer on low speed for 30 seconds. Increase speed to medium and beat for 2 more minutes. Pour the batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 33 to 36 minutes or until a toothpick inserted near the center comes out clean. Let cake cool then frost with your choice of frosting, if desired.**",7849,https://images.media-allrecipes.com/userphotos/250x250/707453.jpg
Lemonade Cake III Recipe ,45,Denise,X,X,X,"lemon,lemon,egg,vegetable oil,water,lemon,white sugar","Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 10 inch tube pan.**Combine the cake mix, lemon pudding mix, eggs, vegetable oil and the cold water. Mix until smooth. Pour the batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 1 hour. Remove from oven and prick cake all over with a fork. Immediately pour lemonade glaze over top of cake. Let cake stand in pan until cool.**To Make Lemonade Glaze: Combine the thawed frozen lemonade and the white sugar. Mix thoroughly and pour over still warm cake.**",7850,https://images.media-allrecipes.com/userphotos/250x250/49763.jpg
Apricot Fruitcake Recipe ,9,Carol,X,X,X,"apricot,water,butter,white sugar,egg,raisin,cherry,pineapple,fruit,flour,baking soda,salt,apricot,walnut","Preheat oven to 275 degrees F (135 degrees C). Grease two 9 inch tube pans.**In a saucepan over medium heat cook apricots in the water until they are mushy. Press them through a sieve and let them cool.**Separate the eggs. Beat the egg yolks until lemony colored. Then beat the egg whites until stiff peaks are formed. Set aside.**Cream the butter or margarine and sugar together. Add the beaten egg yolks and the apricots, and mix thoroughly.**Combine the raisins, candied cherries, candied pineapple, and mixed dried fruits in a bowl coated with one cup of the flour.**Combine the remaining flour, baking soda, and salt. Add this flour mixture alternately to the creamed mixture with the apricot juice. Blend this batter into the mixed fruits. Add the chopped pecans or walnuts and fold in the beaten egg whites. Turn the batter into the prepared pans.**Bake at 275 degrees F (135 degrees C) for 2 hours. Garnish cakes with candied pineapples and cherries. Makes about 24 servings.**",7851,https://images.media-allrecipes.com/userphotos/560x315/1419230.jpg
Easter Cake Recipe ,2,Carol,40 m,1 h,2 h 40 m,"water,white sugar,egg,salt,cream,flour,almond,orange","Preheat oven to 350 degrees F (175 degrees C).**In a saucepan over medium heat combine the water and the white sugar, boil until mixture spins a thread approximately 225 degrees F (110  degrees C).**Beat egg whites, salt and cream of tartar in the bowl of a stand mixer until light and fluffy but not stiff. Add hot syrup slowly to egg whites, beating until cool, about 15 minutes.**Beat egg yolks until thick and lemon-colored. Fold 1/3 cup of the egg whites into the beaten egg yolks to lighten.**Sift 1 cup flour over the egg whites and gently fold in. Add almond flavoring.**Sift remaining flour over egg yolks and fold in orange flavoring. Spoon egg white batter and egg yolk batter alternately into one ungreased 9-inch tube pan.**Bake at 350 degrees F (175 degrees C) for 1 hour. Once cool frost with yellow tinted Seven Minute Frosting.**",7852,https://images.media-allrecipes.com/userphotos/560x315/2179400.jpg
Simnel Cake Recipe ,0,Carol,X,X,X,"flour,baking powder,salt,butter,white sugar,egg,vanilla,raisin,raisin,fruit","Preheat oven to 325 degrees F (165 degrees C). Grease one 9 inch tube pan.**Sift flour, baking powder, and salt together.**Cream butter or margarine and sugar together. Beat in the eggs one at a time. Stir in the vanilla and the sifted flour mixture. Fold in the raisins, and candied peel mixing well. Spoon batter into the prepared pan.**Bake at 325 degrees F (165 degrees C) for 1 hour and 45 minutes to 2 hours. Makes about 16 servings.**",7853,https://images.media-allrecipes.com/images/79591.png
Nutty Graham Cake Recipe ,8,Carol,X,X,X,"flour,brown sugar,ham,baking powder,baking soda,salt,cinnamon,butter,orange juice,orange,egg,walnut,sugar,water,brown sugar,vanilla","^Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 10 inch bundt pan.**Measure the flour, 1 1/2 cups packed brown sugar, graham cracker crumbs, baking powder, baking soda, salt, ground cinnamon, softened butter or margarine, orange juice and the eggs. Beat until smooth about 2 to 3 minutes. Stir in the walnuts and pour the batter into the prepared pan.**Bake at 350 degrees F (for 45 to 50 minutes) or until a toothpick inserted in the center comes out clean. Let cake stand in pan for 20 minutes. Invert cake onto a serving plate and ice with Brown Sugar Glaze.**To Make Brown Sugar Glaze: Combine the confectioners^^ sugar, water, 1/2 cup brown sugar and the vanilla. Add more sugar or water to make a proper consistency for a barely pourable glaze.**^",7854,https://images.media-allrecipes.com/userphotos/560x315/871785.jpg
Toffee Cake Recipe ,6,Nina,10 m,X,1 d 10 m,"cake,topping thawed,chocolate",Split angel food cake in half horizontally.**Stir together the whipped topping and the crushed toffee bars. Use to fill and frost cake. Cover and refrigerate cake.**,7855,https://images.media-allrecipes.com/userphotos/250x250/759323.jpg
Cream of Coconut Cake Recipe ,122,Corinne,X,X,X,"cake,egg,vegetable oil,coconut,sour cream,cream cheese,vanilla,milk,sugar,coconut","^Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 9x13 inch pan.**Combine the cake mix, eggs, vegetable oil, cream of coconut and the sour cream and mix well for 4 minutes. Pour batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 35 to 40 minutes. Let cake cool then frost with cream cheese frosting and top with flaked coconut.**To Make Frosting: Combine the softened cream cheese, vanilla, milk and confectioners^^ sugar. Mix until smooth and spread over cooled cake. Top with flaked coconut.**^",7856,https://images.media-allrecipes.com/userphotos/250x250/89293.jpg
^Mom^^s Date Pudding Cake Recipe ^,21,Peg,X,X,X,"white sugar,flour,milk,salt,date,walnut,vanilla,baking powder,brown sugar,water,butter","Preheat oven to 375 degrees F (190 degrees C). Grease one 9x13 inch baking pan.**Combine the sugar, flour, milk, salt, dates, nut, vanilla and baking powder and mix well. Pour batter into the prepared pan.**In a saucepan over medium heat combine the brown sugar, water and butter or margarine and bring to boil. Pour brown sugar mixture over batter.**Bake at 375 degrees F (190 degrees C) for 30 to 35 minute or until the cake tests done.  Serve warm with whipped cream.**",7857,https://images.media-allrecipes.com/userphotos/560x315/4543823.jpg
Ruthie Cheese Cake Recipe ,11,Ruthie,X,X,X,"cream cheese,milk,white sugar,cornstarch,vanilla,egg,cinnamon","Preheat oven to 350 degrees F (175 degrees C). Grease one 8x8 inch square pan.**Place the cream cheese, milk, sugar, corn starch and vanilla  in a blender and puree. Add the eggs one at a time after the last egg has been added blend mixture for 7 minutes. Pour batter into the prepared pan and sprinkle top with cinnamon.**Bake at 350 degrees F (175 degrees C) for 1 hour. Let cheese cake cool in oven for one hour. Then place in the refrigerator for at least 3 to 4 hours before serving.**",7858,https://images.media-allrecipes.com/userphotos/560x315/5994542.jpg
^Momma^^s Wine Cake Recipe ^,112,Esther Nelson,X,X,X,"cake,vanilla,nutmeg,vegetable oil,white wine,egg","^Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 10 inch bundt pan.**In medium bowl combine the cake mix, instant vanilla pudding, nutmeg, vegetable oil, white wine, and eggs. Beat with an electric mixer for 5 minutes.**Bake at 350 degrees F (175 degrees C) for 50 minutes or until a toothpick inserted in the center comes out clean. Let cake cool on rack in pan for 10 minutes then remove cake from pan to rack. Let cake cool completely before slicing. Garnish sliced cake with a dollop of whipped cream or dust with confectioners^^ sugar and sliced strawberries.**Variation: You can also ""flour"" the pan after it^^s been greased with cocoa powder or a cinnamon sugar mixture for a textured crust. Simply fill a clean salt shaker for easy application. This will eliminate that ""white stuff"" on the outside of your baked cake which makes for a prettier cake.**^",7859,https://images.media-allrecipes.com/userphotos/250x250/24602.jpg
Pumpkin Cake I Recipe ,236,D Adams,15 m,1 h,1 h 20 m,"vegetable oil,egg,pumpkin,vanilla,white sugar,flour,baking soda,nutmeg,spice,cinnamon,clove,salt,walnut","^Preheat oven to 350 degrees F (175 degrees C). Grease one 10-inch bundt or tube pan.**Blend oil, beaten eggs, pumpkin and vanilla together.**Sift the flour, sugar, baking soda, ground nutmeg, ground allspice, ground cinnamon, ground cloves and salt together. Add the flour mixture to the pumpkin mixture and mix until just combined. If desired, stir in some chopped nuts. Pour batter into the prepared pan.**Bake in preheated oven until a toothpick inserted in the middle comes out clean, about 1 hour. Let cake cool in pan for 5 minutes, then turn out onto a plate and sprinkle with confectioners^^ sugar.**^",7860,https://images.media-allrecipes.com/userphotos/560x315/5897345.jpg
Icelandic Christmas Cake Recipe ,42,Gudny Bjorg Kjaerbo,X,X,X,"white sugar,butter,egg,flour,baking powder,milk,raisin,lemon,cardamom","Preheat oven to 350 degrees F (175 degrees C). Grease one 11 inch loaf pan.**Cream the butter or margarine and the sugar until light and fluffy. Add the eggs one at time beating well after each one. Stir in the milk, lemon and cardamom flavorings. Stir in the flour and the baking powder.**Sift a little flour over the raisins then stir them into the batter. Pour the batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 55 to 60 minutes.**",7861,https://images.media-allrecipes.com/userphotos/250x250/5934.jpg
Chocolate Angel Torte Recipe ,4,Carol,X,X,X,"flour,cocoa powder,white sugar,egg,cream,salt,vanilla,white sugar,cornstarch,salt,white sugar,milk,egg,amaretto","^Preheat oven to 375 degrees F (190 degrees C).**Sift flour, cocoa, and 1/4 cup of the white sugar together.**Beat egg whites with cream of tartar and salt until soft peaks form, gradually add 1/2 cup sugar beating until stiff and shiny, add vanilla.  Sift dry mixture over beaten egg whites gradually and gently fold in.  Spoon batter into one 9x5 inch ungreased loaf pan.**Bake at 375 degrees F (190 degrees C) for 25 minutes or until done. Invert pan and cool completely. Remove cake and cut it into 3 layers. Spread almond filling between the layers and dust top with sifted confectioners^^ sugar. Makes about 10 servings.**To Make Almond Filling: Combine the remaining 1/4 cup white sugar, cornstarch and salt in a saucepan. Mix the beaten eggs and milk together and stir them into the sugar mixture. Cook over medium heat, stirring constantly until thick and bubbling. Cook for an additional 2 minutes. Remove from heat and add the almond liqueur and stir well. Cover the surface of the fill in with plastic wrap and chill completely before using.**^",7862,https://images.media-allrecipes.com/images/79591.png
Almond Filling Recipe ,16,Carol,20 m,5 m,25 m,"white sugar,cornstarch,salt,milk,egg,amaretto","Combine sugar, cornstarch, and salt in saucepan.  In a separate bowl beat eggs and mix together with milk. Stir into dry mixture.  Cook over medium heat, stirring constantly, until thick and bubbling.  Cook for 2 minutes more.  Remove from heat, add almond liqueur and stir well.  Cover surface of filling with plastic wrap to prevent film from forming and chill completely before using.**",7863,https://images.media-allrecipes.com/userphotos/250x250/120693.jpg
Lemon Chiffon Cake Recipe ,88,Carol,30 m,1 h,3 h,"flour,baking powder,salt,white sugar,vegetable oil,egg,water,lemon,egg,cream,white sugar,whipping cream,lemon,lemon","Preheat oven to 350 degrees F (175 degrees C).**In a large bowl, combine flour, baking powder, salt, and 1/2 cup sugar. Add oil, egg yolks, water and lemon rind. Beat with an electric mixer until smooth.**In a small bowl, beat egg whites and cream of tartar until peaks form. Gradually add 3/4 cup sugar, and beat until very stiff and shiny peaks form. Fold 1/3 of the whites into the batter, then quickly fold in remaining whites until no streaks remain. Turn batter into ungreased 10-inch tube pan.**Bake at 350 degrees F (175 degrees C) for 60 minutes or until a toothpick inserted in the center comes out clean. Invert cake and cool completely in pan. When cool, loosen edges and shake pan to remove cake.**To Make Filling: Beat cream to stiff peaks. Fold in lemon filling. Chill until stiff.**To Assemble Cake: Slice cake horizontally into 3 equal layers. Fill layers with 1/3 cup of filling. Spread remaining filling on top layer. Decorate with lemon slices.**",7864,https://images.media-allrecipes.com/userphotos/560x315/3427077.jpg
Fluffy Two Step Cheesecake I Recipe ,114,Adora Marchi,30 m,X,3 h 30 m,"cream cheese,white sugar,topping thawed,ham","In a large bowl beat together the cream cheese and sugar until smooth. Gently fold in the whipped topping. Spoon into the prepared crust. Refrigerate 3 hours, or until set.**",7865,https://images.media-allrecipes.com/userphotos/250x250/435024.jpg
^Mom^^s Chocolate Cake Recipe ^,79,Melody Sherman,X,X,X,"white sugar,shortening,egg,cocoa powder,milk,flour,baking powder,coffee,baking soda,vanilla","Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 9x13 inch baking pan.**Cream the sugar and shortening together until light and fluffy. Add the eggs and mix well. Stir in the cocoa, milk, flour, baking powder, boiling coffee, baking soda and vanilla extract. Mix until just combined. Pour the batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for 30 to 35 minutes or until a toothpick inserted into the cake comes out clean.**",7867,https://images.media-allrecipes.com/userphotos/250x250/928488.jpg
Mock Angel Food Cake Recipe ,48,Melissa Busse,X,X,X,"flour,white sugar,salt,water,egg,baking powder,cream,vanilla,almond","Preheat oven to 350 degrees F (175 degrees C).**Sift cake flour, sugar, and salt three times then stir in the boiling water. Let cool.**Beat egg whites, cream of tartar, baking powder, vanilla and almond flavorings until stiff peaks form. Fold into the flour mixture and pour batter into one ungreased 12x18 inch baking pan.**Bake at 350 degrees F (175 degrees C) for 35 minutes. Cool cake inverted in pan, laying a tea towel underneath the cake to absorb the steam. Frost as desired once the cake is cooled.**",7868,https://images.media-allrecipes.com/userphotos/250x250/462044.jpg
Neiman Marcus Cake II Recipe ,132,Mary Catherine Bailey,X,X,X,"cake,egg,butter,cream cheese,sugar","^Preheat the oven to 350 degrees F (175 degrees C). Grease one 13x9 inch baking pan.**Combine the yellow cake mix, 2 of the eggs, and the butter or margarine mix well. The batter should be stiff. Spread the batter into the prepared pan.**Combine the cream cheese, confectioners^^ sugar and the remaining 2 eggs. Mix well and pour over the top of the cake batter.**Bake at 350 degrees F (175 degrees C) for 35 minutes.**^",7869,https://images.media-allrecipes.com/userphotos/250x250/64644.jpg
Best Boiled Fruitcake Recipe ,50,Mark Richards,X,X,X,"fruit,cherry,citrus,walnut,butter,spice,baking soda,milk,flour,egg,white sugar","Preheat oven to 325 degrees F (160 degrees C). Line one 8 inch deep sided cake tin with parchment paper.**Place the fruit cherries, peel, walnuts, sugar, butter or margarine, mixed spice, baking soda and milk in a medium sized saucepan. Bring to a boil and simmer for 5 minutes. Let mixture cool to body temperature.**Stir in the flour and the eggs. Pour batter into the prepared pan. Wrap outside of pan with brown paper or newspaper.**Bake at 325 degrees F (160 degrees C) for 40 minutes then reduce temperature to 300 degrees F (150 degrees C) and continue to baking cake for 1-1/2 hours. Remove cake from oven and allow it to cool in tin for 5 minutes then turn it out onto a cooling rack, remove greaseproof paper and leave until cool. Cake can be stored for up to 6 months wrapped in foil and in an air tight tin.**",7870,https://images.media-allrecipes.com/userphotos/560x315/27222.jpg
Wacky Cake IV Recipe ,16,Karin Christian,X,X,X,"flour,white sugar,cocoa powder,baking soda,salt,vinegar,vanilla,vegetable oil,water,butter,cocoa powder,sugar,salt,vanilla,milk","^Preheat oven to 350 degrees (175 degrees C). Spray one 13x9 inch cake pan with cooking oil spray.**Mix the flour, white sugar, 4 1/2 tablespoons cocoa, baking soda and salt together in a bowl. Pour dry ingredients into the prepared pan. Scoop out 3 holes in the dry mixture. Put the vegetable oil in one hole, vinegar in the second hole, and 1 1/2 teaspoons of the vanilla in the third hole. Pour the cold water over the top and stir until smooth.**Bake at 350 degrees F (175 degrees C) for about 20 minutes. Ice cake while it is still hot.**To Make Icing: In a saucepan over medium heat melt the butter or margarine. Add the cocoa and remove pan from the heat. Stir in the salt, milk and 1 teaspoon vanilla. Mix in the confectioners^^ sugar until desired consistency is attained. Spread icing over a still hot cake.**^",7872,https://images.media-allrecipes.com/userphotos/560x315/2078394.jpg
